"period","searchVolume"
"2021-01-18","1050"
"2021-01-19","1070"
"2021-01-20","1250"
"2021-01-21","1280"
"2021-01-22","1130"
"2021-01-23","1430"
"2021-01-24","1610"
"2021-01-25","1220"
"2021-01-26","1320"
"2021-01-27","1220"
"2021-01-28","1180"
"2021-01-29","1200"
"2021-01-30","1500"
"2021-01-31","1540"
"2021-02-01","1240"
"2021-02-02","1210"
"2021-02-03","1290"
"2021-02-04","1200"
"2021-02-05","1050"
"2021-02-06","1460"
"2021-02-07","1500"
"2021-02-08","1210"
"2021-02-09","1270"
"2021-02-10","1270"
"2021-02-11","1280"
"2021-02-12","1390"
"2021-02-13","1880"
"2021-02-14","2200"
"2021-02-15","1640"
"2021-02-16","1430"
"2021-02-17","1400"
"2021-02-18","1330"
"2021-02-19","1580"
"2021-02-20","2220"
"2021-02-21","2420"
"2021-02-22","1820"
"2021-02-23","1820"
"2021-02-24","1710"
"2021-02-25","1730"
"2021-02-26","1590"
"2021-02-27","2150"
"2021-02-28","2650"
"2021-03-01","2390"
"2021-03-02","1570"
"2021-03-03","1580"
"2021-03-04","1840"
"2021-03-05","1820"
"2021-03-06","2480"
"2021-03-07","2730"
"2021-03-08","1910"
"2021-03-09","2000"
"2021-03-10","1840"
"2021-03-11","2060"
"2021-03-12","2040"
"2021-03-13","2670"
"2021-03-14","3020"
"2021-03-15","2260"
"2021-03-16","2310"
"2021-03-17","2110"
"2021-03-18","2210"
"2021-03-19","2260"
"2021-03-20","2940"
"2021-03-21","2930"
"2021-03-22","1940"
"2021-03-23","2090"
"2021-03-24","2110"
"2021-03-25","2150"
"2021-03-26","2210"
"2021-03-27","2750"
"2021-03-28","3080"
"2021-03-29","2420"
"2021-03-30","2510"
"2021-03-31","2810"
"2021-04-01","2820"
"2021-04-02","3040"
"2021-04-03","3820"
"2021-04-04","3630"
"2021-04-05","2740"
"2021-04-06","2700"
"2021-04-07","2700"
"2021-04-08","2760"
"2021-04-09","2670"
"2021-04-10","3130"
"2021-04-11","3390"
"2021-04-12","2550"
"2021-04-13","2280"
"2021-04-14","2310"
"2021-04-15","2400"
"2021-04-16","2440"
"2021-04-17","2980"
"2021-04-18","3130"
"2021-04-19","2700"
"2021-04-20","2900"
"2021-04-21","3480"
"2021-04-22","3230"
"2021-04-23","3020"
"2021-04-24","3560"
"2021-04-25","3940"
"2021-04-26","2970"
"2021-04-27","3100"
"2021-04-28","3460"
"2021-04-29","3500"
"2021-04-30","3040"
"2021-05-01","3570"
"2021-05-02","3530"
"2021-05-03","2720"
"2021-05-04","2700"
"2021-05-05","3460"
"2021-05-06","3220"
"2021-05-07","2830"
"2021-05-08","2860"
"2021-05-09","3090"
"2021-05-10","2560"
"2021-05-11","2670"
"2021-05-12","2900"
"2021-05-13","3090"
"2021-05-14","3440"
"2021-05-15","3720"
"2021-05-16","4030"
"2021-05-17","3050"
"2021-05-18","2980"
"2021-05-19","3880"
"2021-05-20","2910"
"2021-05-21","2670"
"2021-05-22","3360"
"2021-05-23","3460"
"2021-05-24","2700"
"2021-05-25","2490"
"2021-05-26","2590"
"2021-05-27","2470"
"2021-05-28","2530"
"2021-05-29","2980"
"2021-05-30","3440"
"2021-05-31","2560"
"2021-06-01","2800"
"2021-06-02","3010"
"2021-06-03","3080"
"2021-06-04","3040"
"2021-06-05","3770"
"2021-06-06","4060"
"2021-06-07","3620"
"2021-06-08","3680"
"2021-06-09","3890"
"2021-06-10","3870"
"2021-06-11","3680"
