,상품이름,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10 (예측)
36,닥터지블랙스네일크림,129460,123940,129570,84160,62480,59880,68820,47680,40700,36770,59500,69970,66610,61720,59190,64060,55770,45390,43780,32730,27090,29050,38930,43360,52410,53180,57540,45700,37140,34650,36310,31570,31410,32230,37650,39010
37,향수,113900,121030,115370,122880,131940,126210,138850,109960,114380,112500,126990,116440,119250,137030,124170,127800,131210,118080,130660,110630,107190,117160,127020,133920,129420,132860,118870,117350,117860,114180,123860,110110,107070,111590,111710,112110
38,헤어트리트먼트,36730,22390,34130,31280,48140,47800,47140,51460,56830,60070,51480,50760,56580,58260,64830,57590,56840,52530,51810,50560,52420,53930,43920,40340,43280,42140,45640,57160,56430,52670,49370,54070,56020,53530,43720,14400
39,클렌징오일,67360,57240,59860,58350,59200,55100,57020,52110,49190,47450,44910,42910,43220,40440,43470,45150,47600,47600,44070,47340,47360,51140,50610,47040,46820,39790,46270,44580,44780,47740,59320,67150,53630,52670,44020,41040
40,탈모샴푸,83320,65890,65190,61350,67790,68950,78890,92790,93040,104140,112290,110800,105970,104760,92500,73900,84640,78650,85750,86660,97630,110490,109020,111320,103960,99200,109360,99070,90780,79930,84720,95360,110160,105270,85060,84780
41,핸드워시,27980,28220,49600,89660,76560,44780,38090,37660,37610,43160,42580,36620,37790,45770,41180,35120,36130,33830,32630,32300,34620,41370,40720,34960,39880,40060,42410,48460,48220,36080,37940,34960,39330,40400,34890,30850
42,동국제약마데카크림,106150,111630,136980,115560,108290,110610,78890,72650,61400,59600,77130,98100,99510,99110,141140,90520,88610,78820,74780,77580,64960,60130,59890,80730,84180,80080,83770,84250,63310,68120,71760,69130,63130,69110,61470,20850
43,립밤,74800,79140,58730,50660,45320,42980,33660,25180,25650,27120,44590,71320,69830,83930,67190,45790,37490,34170,34170,24690,26640,35270,39890,72370,71780,77090,72520,66690,42210,32270,39750,31340,29060,31230,41780,66880
44,키엘수분크림,42240,45170,50640,41940,37890,33950,27470,23110,21320,22880,33790,48940,42390,47660,48640,37720,34390,32410,29750,23550,20680,25910,32640,43820,49240,49140,59220,44290,35700,33820,36920,27290,25450,32070,36050,45220
45,닥터지레드블레미쉬클리어크림,54120,55850,52850,50270,52610,43310,53020,45760,54740,44110,42780,43220,41370,45380,43110,43240,43840,36780,36650,41420,33860,32410,33340,35920,36950,39660,41410,37860,37050,38030,44680,41300,35450,33210,36030,38400
46,이솝핸드크림,38990,48410,41730,49610,47210,38820,17360,25170,29720,34730,61170,101140,101670,113890,93130,87030,71640,59090,55860,36430,36430,47090,63760,82200,98670,117810,94750,86400,58580,48350,50600,33150,30800,38050,53510,69150
47,속눈썹영양제,49840,57550,77820,76530,76570,60130,59150,54530,64970,71840,59120,54670,66430,71940,90360,86610,85510,80790,85800,74100,70500,73390,70100,69480,67880,71530,86700,90460,84980,74980,76390,75560,99500,81770,55830,51240
48,아이크림,34020,34520,40940,35430,42690,40910,34190,26140,28530,29540,37520,39260,41420,46050,46720,36780,43960,41670,38870,31450,29690,33600,32780,40150,40330,42380,49950,46380,42810,42140,40720,36550,33600,44170,37130,40140
49,아모스녹차실감샴푸,21830,36020,40250,40920,43810,42260,38530,33550,35680,38080,34570,34210,35960,42830,44150,34580,33830,29590,30960,29160,31320,32540,28350,30140,25790,25690,28390,25950,26570,26500,29540,28410,26260,25020,20680,12310
50,정샘물에센셜스킨누더쿠션,51550,53840,80770,47840,36850,31000,30570,29720,37990,34930,32390,24670,26510,24140,18750,21760,28280,24000,24730,23130,20370,22990,26660,35700,35630,45530,36780,37240,35150,35760,47310,41080,34580,35540,42520,48480
51,아모스컬링에센스2x,28240,27970,28190,24220,23480,24330,22160,19860,19340,21190,16680,20590,21850,20490,20090,18450,27070,24210,24100,25440,22880,19670,21170,23600,23370,24450,28060,26420,25440,24300,24130,24310,23590,23890,21800,28920
